"phase","candidate_label","original_case_key","block","family","tau_label","fit_size","prior_semantics","model","inference","accepted_gate","source_gate_current","source_compare","source_selected_variant_tag","reference_fit_path","candidate_fit_path","override_burn","override_n","override_proposal","override_joint_sample","override_slice_width","override_slice_max_steps","override_laplace_refresh_interval","override_laplace_refresh_start","override_laplace_refresh_weight","reason"
"phase1_static_exal_primary","row192_failband2_f085","static_shrink::gausmix::0p95::1000::ridge::exal::mcmc","static_shrink","gausmix","0p95",1000,"ridge","exal","mcmc","WARN","FAIL","worse_than_accepted","baseline","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000/fits/mcmc/mcmc_exal_tau_0p95_fit_failband2_F085_sub2_s100.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000/fits/mcmc/mcmc_exal_tau_0p95_fit_orig288_sync0p4p0_followup_20260407_row192_failband2_f085.rds",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Large ridge residual bank; broad failband2 F085 remains the strongest documented static default."
"phase1_static_exal_primary","row194_rhsns_current","static_shrink::laplace::0p05::100::ridge::exal::mcmc","static_shrink","laplace","0p05",100,"ridge","exal","mcmc","WARN","FAIL","worse_than_accepted","baseline","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100/fits/mcmc/mcmc_exal_tau_0p05_fit_static_exal_f080_sub2_s105_rhsns_current_20260403.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100/fits/mcmc/mcmc_exal_tau_0p05_fit_orig288_sync0p4p0_followup_20260407_row194_rhsns_current.rds",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Compact ridge row; use current rhsns refresh instead of the plain baseline replay."
"phase1_static_exal_primary","row204_rhsns_current","static_shrink::laplace::0p95::1000::ridge::exal::mcmc","static_shrink","laplace","0p95",1000,"ridge","exal","mcmc","WARN","FAIL","worse_than_accepted","baseline","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000/fits/mcmc/mcmc_exal_tau_0p95_fit_static_exal_f080_sub2_s105_rhsns_current_20260403.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000/fits/mcmc/mcmc_exal_tau_0p95_fit_orig288_sync0p4p0_followup_20260407_row204_rhsns_current.rds",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Compact ridge row; use current rhsns refresh instead of the plain baseline replay."
"phase1_static_exal_primary","row240_rhsns_current","static_shrink::laplace::0p95::1000::rhs::exal::mcmc","static_shrink","laplace","0p95",1000,"rhs","exal","mcmc","WARN","FAIL","worse_than_accepted","rhs_legacy_refresh_20260329","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000/fits/mcmc/mcmc_exal_tau_0p95_fit_static_exal_f080_sub2_s105_rhsns_current_20260403.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000/fits/mcmc/mcmc_exal_tau_0p95_fit_orig288_sync0p4p0_followup_20260407_row240_rhsns_current.rds",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Legacy rhs refresh failed exact replay; switch to the current rhsns refresh family."
"phase1_static_exal_primary","row242_rhsns_current","static_shrink::normal::0p05::100::rhs::exal::mcmc","static_shrink","normal","0p05",100,"rhs","exal","mcmc","WARN","FAIL","worse_than_accepted","baseline","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100/fits/mcmc/mcmc_exal_tau_0p05_fit_static_exal_f080_sub2_s105_rhsns_current_20260403.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100/fits/mcmc/mcmc_exal_tau_0p05_fit_orig288_sync0p4p0_followup_20260407_row242_rhsns_current.rds",NA,NA,NA,NA,NA,NA,NA,NA,NA,"rhs row must stay rhs_ns; current rhsns refresh is the strongest reusable local family on disk."
"phase1_static_exal_primary","row210_rhsns_current","static_shrink::normal::0p25::100::ridge::exal::mcmc","static_shrink","normal","0p25",100,"ridge","exal","mcmc","WARN","FAIL","worse_than_accepted","baseline","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100/fits/mcmc/mcmc_exal_tau_0p25_fit_static_exal_f080_sub2_s105_rhsns_current_20260403.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100/fits/mcmc/mcmc_exal_tau_0p25_fit_orig288_sync0p4p0_followup_20260407_row210_rhsns_current.rds",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Compact ridge row; use current rhsns refresh instead of the plain baseline replay."
"phase2_static_exal_rowlocal","row152_row87_medium","static_paper::gausmix::0p25::1000::paper::exal::mcmc","static_paper","gausmix","0p25",1000,"paper","exal","mcmc","WARN","FAIL","worse_than_accepted","baseline","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000/fits/mcmc/mcmc_exal_tau_0p25_fit_row87fix11_R87_F0825_sub2_s100_medium_seed2026111087.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000/fits/mcmc/mcmc_exal_tau_0p25_fit_orig288_sync0p4p0_followup_20260407_row152_row87_medium.rds",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Second row-87 anchor to confirm whether the low-mid medium corridor is more stable than the promoted short replay."
"phase2_static_exal_rowlocal","row152_row87_none","static_paper::gausmix::0p25::1000::paper::exal::mcmc","static_paper","gausmix","0p25",1000,"paper","exal","mcmc","WARN","FAIL","worse_than_accepted","baseline","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000/fits/mcmc/mcmc_exal_tau_0p25_fit_row87fix11_R87_F0825_sub2_s1025_none_seed2026116087.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000/fits/mcmc/mcmc_exal_tau_0p25_fit_orig288_sync0p4p0_followup_20260407_row152_row87_none.rds",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Third row-87 anchor to test whether the none-init lower-mid branch is more robust on the synced base."
"phase2_static_exal_rowlocal","row176_failband2_f085","static_paper::normal::0p25::1000::paper::exal::mcmc","static_paper","normal","0p25",1000,"paper","exal","mcmc","PASS","FAIL","worse_than_accepted","rowfix9_R135_F0825_sub2_s105_none_seed2026091351","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000/fits/mcmc/mcmc_exal_tau_0p25_fit_failband2_F085_sub2_s100.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000/fits/mcmc/mcmc_exal_tau_0p25_fit_orig288_sync0p4p0_followup_20260407_row176_failband2_f085.rds",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fallback broad static default for the row-135 case after the row-local exact replay regressed."
"phase2_static_exal_rowlocal","row182_tierbc_repairb","static_shrink::gausmix::0p05::100::ridge::exal::mcmc","static_shrink","gausmix","0p05",100,"ridge","exal","mcmc","PASS","FAIL","worse_than_accepted","static_exal_f080_sub2_s105_rhsns_current_20260403","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100/fits/mcmc/mcmc_exal_tau_0p05_fit_tierBC_repairB_rollout8_20260323_Q14_exal_tau0p05_tt100_gausmix.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100/fits/mcmc/mcmc_exal_tau_0p05_fit_orig288_sync0p4p0_followup_20260407_row182_tierbc_repairb.rds",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Escalate the same-scenario gausmix ridge case to its old tier-B/C repair candidate after rhsns_impl still looked fragile."
"phase2_static_exal_rowlocal","row184_tierbc_repairb","static_shrink::gausmix::0p05::1000::ridge::exal::mcmc","static_shrink","gausmix","0p05",1000,"ridge","exal","mcmc","WARN","FAIL","worse_than_accepted","baseline","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000/fits/mcmc/mcmc_exal_tau_0p05_fit_tierBC_repairB_rollout8_20260323_Q16_exal_tau0p05_tt1000_gausmix.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000/fits/mcmc/mcmc_exal_tau_0p05_fit_orig288_sync0p4p0_followup_20260407_row184_tierbc_repairb.rds",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Escalate the same-scenario gausmix ridge TT1000 case to its old tier-B/C repair candidate rather than repeating the same broad family."
"phase2_static_exal_rowlocal","row240_failband2_f085","static_shrink::laplace::0p95::1000::rhs::exal::mcmc","static_shrink","laplace","0p95",1000,"rhs","exal","mcmc","WARN","FAIL","worse_than_accepted","rhs_legacy_refresh_20260329","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000/fits/mcmc/mcmc_exal_tau_0p95_fit_failband2_F085_sub2_s100.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000/fits/mcmc/mcmc_exal_tau_0p95_fit_orig288_sync0p4p0_followup_20260407_row240_failband2_f085.rds",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fallback broad failband2 F085 on the legacy rhs row after the legacy refresh exact replay regressed."
"phase3_dynamic_exdqlm_exactlong","row254_rw_exactlong","dynamic::gausmix::0p05::500::default::exdqlm::mcmc","dynamic","gausmix","0p05",500,"default","exdqlm","mcmc","WARN","FAIL","worse_than_accepted","orig288_dyn_tail7_rw_refresh4_20260406","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_dyn_tail7_rw_refresh4_20260406.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_sync0p4p0_followup_20260407_row254_rw_exactlong.rds",3000,9000,NA,NA,NA,NA,NA,NA,NA,"Same-kernel RW replay only failed on gamma mixing; keep the accepted refresh corridor and extend runtime budget."
"phase3_dynamic_exdqlm_exactlong","row266_slice_exactlong","dynamic::laplace::0p25::500::default::exdqlm::mcmc","dynamic","laplace","0p25",500,"default","exdqlm","mcmc","WARN","FAIL","worse_than_accepted","slice_wave1_20260319","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p25_fit_slice_wave1_20260319.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p25_fit_orig288_sync0p4p0_followup_20260407_row266_slice_exactlong.rds",1200,5000,NA,NA,NA,NA,NA,NA,NA,"Same-kernel slice replay only failed on gamma mixing; keep the accepted slice corridor and extend runtime budget."
"phase3_dynamic_exdqlm_exactlong","row276_slice_exactlong","dynamic::normal::0p25::500::default::exdqlm::mcmc","dynamic","normal","0p25",500,"default","exdqlm","mcmc","WARN","FAIL","worse_than_accepted","slice_wave1_20260319","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p25_fit_slice_wave1_20260319.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p25_fit_orig288_sync0p4p0_followup_20260407_row276_slice_exactlong.rds",1600,6000,NA,NA,NA,NA,NA,NA,NA,"Same-kernel slice replay failed on sigma/gamma mixing; keep the accepted slice corridor and extend runtime budget."
"phase4_stability_review","row170_passconfirm_long","static_paper::normal::0p05::100::paper::exal::mcmc","static_paper","normal","0p05",100,"paper","exal","mcmc","PASS","WARN","worse_than_accepted","failband2_F085_sub2_s100","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100/fits/mcmc/mcmc_exal_tau_0p05_fit_failband2_F085_sub2_s100.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100/fits/mcmc/mcmc_exal_tau_0p05_fit_orig288_sync0p4p0_followup_20260407_row170_passconfirm_long.rds",4500,12000,NA,NA,NA,NA,NA,NA,NA,"Accepted PASS downgraded to WARN; confirm the same good failband2 corridor with a longer budget instead of opening a new family."
