"phase","candidate_label","original_case_key","block","family","tau_label","fit_size","prior_semantics","model","inference","accepted_gate","source_gate_current","source_compare","source_selected_variant_tag","reference_candidate_label","candidate_fit_path","restored_sim_output_path","synthetic_baseline_path","override_burn","override_n","override_proposal","override_joint_sample","override_slice_width","override_slice_max_steps","override_laplace_refresh_interval","override_laplace_refresh_start","override_laplace_refresh_weight","override_mh_adapt","reason"
"phase1_dynamic_reinforcement","final_norm005_tt5000_rw_joint_xlong","dynamic::normal::0p05::5000::default::exdqlm::mcmc","dynamic","normal","0p05",5000,"default","exdqlm","mcmc","FAIL","FAIL","accepted_tail_fail","baseline","tail6_refine_norm005_tt5000_rw_joint_long","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_sync0p4p0_dynamic_restored_closure_20260410_final_norm005_tt5000_rw_joint_xlong.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/restored_sources/row_0055_sim_output_restored.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/synthetic_baselines/row_0055_synthetic_baseline.rds",10000,30000,"laplace_rw",TRUE,NA,NA,8,25,0.92,TRUE,"The long normal row improved most under joint RW; extend that exact corridor substantially and make it the main reinforcement target."
"phase1_dynamic_reinforcement","final_norm005_tt5000_rw_nonjoint_adapt_xlong","dynamic::normal::0p05::5000::default::exdqlm::mcmc","dynamic","normal","0p05",5000,"default","exdqlm","mcmc","FAIL","FAIL","accepted_tail_fail","baseline","tail6_localmix_norm005_tt5000_rw_adapt_nj_long","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_sync0p4p0_dynamic_restored_closure_20260410_final_norm005_tt5000_rw_nonjoint_adapt_xlong.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/restored_sources/row_0055_sim_output_restored.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/synthetic_baselines/row_0055_synthetic_baseline.rds",9000,28000,"laplace_rw",FALSE,NA,NA,25,25,0.6,TRUE,"Retain a non-joint adaptive RW hedge for the long normal row because the localmix geometry softened some diagnostics even though it did not clear the gate."
"phase2_dynamic_broad_repair","final_gmix005_tt5000_rw_refresh_ultra_hedge","dynamic::gausmix::0p05::5000::default::exdqlm::mcmc","dynamic","gausmix","0p05",5000,"default","exdqlm","mcmc","FAIL","FAIL","accepted_tail_fail","baseline","tail6_gmix005_tt5000_rw_refresh_ultra","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_sync0p4p0_dynamic_restored_closure_20260410_final_gmix005_tt5000_rw_refresh_ultra_hedge.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/restored_sources/row_0007_sim_output_restored.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/synthetic_baselines/row_0007_synthetic_baseline.rds",10000,30000,"laplace_rw",FALSE,NA,NA,8,25,0.92,FALSE,"Reopen one RW hedge on gausmix TT5000 only because the original RW lane improved gamma a lot; this is the only non-slice hedge retained for that row."
"phase2_dynamic_broad_repair","final_gmix005_tt5000_slice_mid280_long","dynamic::gausmix::0p05::5000::default::exdqlm::mcmc","dynamic","gausmix","0p05",5000,"default","exdqlm","mcmc","FAIL","FAIL","accepted_tail_fail","baseline","tail6_refine_gmix005_tt5000_slice_deep320","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_sync0p4p0_dynamic_restored_closure_20260410_final_gmix005_tt5000_slice_mid280_long.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/restored_sources/row_0007_sim_output_restored.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/synthetic_baselines/row_0007_synthetic_baseline.rds",10000,32000,"slice",FALSE,0.17,280,NA,NA,NA,FALSE,"Give gausmix TT5000 a mid-width slice hedge that still stays inside the slice family, because 0.16/240 was too weak and 0.20/360 might overshoot."
"phase2_dynamic_broad_repair","final_gmix025_tt500_slice_mid280_balanced","dynamic::gausmix::0p25::500::default::exdqlm::mcmc","dynamic","gausmix","0p25",500,"default","exdqlm","mcmc","FAIL","FAIL","accepted_tail_fail","baseline","tail6_refine_gmix025_tt500_slice_deep320","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p25_fit_orig288_sync0p4p0_dynamic_restored_closure_20260410_final_gmix025_tt500_slice_mid280_balanced.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/restored_sources/row_0011_sim_output_restored.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/synthetic_baselines/row_0011_synthetic_baseline.rds",4500,18000,"slice",FALSE,0.17,280,NA,NA,NA,FALSE,"Use a balanced-width slice hedge on the tau=0.25 gausmix short row so the search is broad within the family that has been consistently least bad."
"phase2_dynamic_broad_repair","final_gmix025_tt500_slice_wide360_balanced","dynamic::gausmix::0p25::500::default::exdqlm::mcmc","dynamic","gausmix","0p25",500,"default","exdqlm","mcmc","FAIL","FAIL","accepted_tail_fail","baseline","tail6_refine_gmix025_tt500_slice_deep320","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p25_fit_orig288_sync0p4p0_dynamic_restored_closure_20260410_final_gmix025_tt500_slice_wide360_balanced.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/restored_sources/row_0011_sim_output_restored.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/synthetic_baselines/row_0011_synthetic_baseline.rds",5000,20000,"slice",FALSE,0.2,360,NA,NA,NA,FALSE,"Probe a second wider slice corridor on gausmix tau=0.25 to make the mid-tail search broader without spending on clearly weaker RW families."
"phase2_dynamic_broad_repair","final_lap005_tt500_rw_refresh_ultra_xlong","dynamic::laplace::0p05::500::default::exdqlm::mcmc","dynamic","laplace","0p05",500,"default","exdqlm","mcmc","FAIL","FAIL","accepted_tail_fail","baseline","tail6_lap005_tt500_rw_refresh_ultra","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_sync0p4p0_dynamic_restored_closure_20260410_final_lap005_tt500_rw_refresh_ultra_xlong.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/restored_sources/row_0027_sim_output_restored.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/synthetic_baselines/row_0027_synthetic_baseline.rds",5000,20000,"laplace_rw",TRUE,NA,NA,10,50,0.9,TRUE,"Stretch the best short laplace RW corridor much further; this is the one row where a simple longer RW reinforcement is still high-value."
"phase2_dynamic_broad_repair","final_lap005_tt500_slice_deep320_hedge","dynamic::laplace::0p05::500::default::exdqlm::mcmc","dynamic","laplace","0p05",500,"default","exdqlm","mcmc","FAIL","FAIL","accepted_tail_fail","baseline","tail6_lap005_tt500_rw_refresh_ultra","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_sync0p4p0_dynamic_restored_closure_20260410_final_lap005_tt500_slice_deep320_hedge.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/restored_sources/row_0027_sim_output_restored.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/synthetic_baselines/row_0027_synthetic_baseline.rds",4000,16000,"slice",FALSE,0.18,320,NA,NA,NA,FALSE,"Add one real slice hedge on the short laplace row so the overnight lane still tests whether gamma instability is more slice-fixable than the current RW signal suggests."
"phase2_dynamic_broad_repair","final_lap005_tt5000_rw_refresh_hedge","dynamic::laplace::0p05::5000::default::exdqlm::mcmc","dynamic","laplace","0p05",5000,"default","exdqlm","mcmc","FAIL","FAIL","accepted_tail_fail","baseline","tail6_lap005_tt5000_rw_refresh_ultra","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_sync0p4p0_dynamic_restored_closure_20260410_final_lap005_tt5000_rw_refresh_hedge.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/restored_sources/row_0031_sim_output_restored.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/synthetic_baselines/row_0031_synthetic_baseline.rds",10000,30000,"laplace_rw",TRUE,NA,NA,8,25,0.92,TRUE,"Keep one RW hedge on the long laplace row only because the failure remains severe enough to justify a non-slice fallback if deeper slice still fails."
"phase2_dynamic_broad_repair","final_lap005_tt5000_slice_mid280_long","dynamic::laplace::0p05::5000::default::exdqlm::mcmc","dynamic","laplace","0p05",5000,"default","exdqlm","mcmc","FAIL","FAIL","accepted_tail_fail","baseline","tail6_refine_lap005_tt5000_slice_deep320","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_sync0p4p0_dynamic_restored_closure_20260410_final_lap005_tt5000_slice_mid280_long.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/restored_sources/row_0031_sim_output_restored.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/synthetic_baselines/row_0031_synthetic_baseline.rds",10000,32000,"slice",FALSE,0.17,280,NA,NA,NA,FALSE,"Use a mid-width slice hedge on the long laplace row so the search covers both 0.18/320-style and slightly softer exact-kernel corridors."
"phase2_dynamic_broad_repair","final_norm005_tt500_slice_deep320_long","dynamic::normal::0p05::500::default::exdqlm::mcmc","dynamic","normal","0p05",500,"default","exdqlm","mcmc","FAIL","FAIL","accepted_tail_fail","baseline","tail6_norm005_tt500_slice_mid240","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_sync0p4p0_dynamic_restored_closure_20260410_final_norm005_tt500_slice_deep320_long.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/restored_sources/row_0051_sim_output_restored.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/synthetic_baselines/row_0051_synthetic_baseline.rds",4500,18000,"slice",FALSE,0.18,320,NA,NA,NA,FALSE,"Short normal still has no clear kernel winner; deepen the slice side seriously instead of leaving slice as only a token hedge."
"phase2_dynamic_broad_repair","final_norm005_tt500_slice_wide360_long","dynamic::normal::0p05::500::default::exdqlm::mcmc","dynamic","normal","0p05",500,"default","exdqlm","mcmc","FAIL","FAIL","accepted_tail_fail","baseline","tail6_norm005_tt500_slice_mid240","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_sync0p4p0_dynamic_restored_closure_20260410_final_norm005_tt500_slice_wide360_long.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/restored_sources/row_0051_sim_output_restored.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/synthetic_baselines/row_0051_synthetic_baseline.rds",5000,20000,"slice",FALSE,0.2,360,NA,NA,NA,FALSE,"Add one wider slice hedge on short normal so the overnight lane gives slice a fair test against the renewed RW family."
"phase2_dynamic_broad_repair","final_norm005_tt5000_rw_joint_noadapt_xlong","dynamic::normal::0p05::5000::default::exdqlm::mcmc","dynamic","normal","0p05",5000,"default","exdqlm","mcmc","FAIL","FAIL","accepted_tail_fail","baseline","tail6_refine_norm005_tt5000_rw_joint_long","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_sync0p4p0_dynamic_restored_closure_20260410_final_norm005_tt5000_rw_joint_noadapt_xlong.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/restored_sources/row_0055_sim_output_restored.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/synthetic_baselines/row_0055_synthetic_baseline.rds",10000,30000,"laplace_rw",TRUE,NA,NA,8,25,0.92,FALSE,"Turn adaptation off on the long normal joint-RW corridor to test whether adaptation is now the main thing holding back the best long normal geometry."
"phase2_dynamic_broad_repair","final_norm005_tt5000_slice_deep320_hedge","dynamic::normal::0p05::5000::default::exdqlm::mcmc","dynamic","normal","0p05",5000,"default","exdqlm","mcmc","FAIL","FAIL","accepted_tail_fail","baseline","tail6_norm005_tt5000_slice_mid240","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_sync0p4p0_dynamic_restored_closure_20260410_final_norm005_tt5000_slice_deep320_hedge.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/restored_sources/row_0055_sim_output_restored.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/synthetic_baselines/row_0055_synthetic_baseline.rds",12000,36000,"slice",FALSE,0.18,320,NA,NA,NA,FALSE,"Retain one exact-kernel hedge on the long normal row because gamma may still be the binding problem even if RW is the better general family."
